"genename" "BE01" "BE11" "BE25" "BE27" "BE29" "BE31"
"TSPAN6" 194.891590814822 254.389358485156 267.552137651697 341.075861668669 243.834148360317 312.531506111491
"DPM1" 1024.32887582395 435.290687941426 626.674727599653 857.092844628188 830.706810560124 667.943652724031
"SCYL3" 292.912099455665 191.200941345393 131.207065174136 271.275416585483 280.552035830981 160.347355751273
"C1orf112" 28.6019223625804 31.9835012328827 21.6047333736328 45.3752403868286 22.9469951952477 23.5743068736791
"FGR" 1924.05677871077 2717.01021599487 2584.11595558596 999.249809473533 2270.49599278637 1720.7142679801
"CFH" 2439.6028297775 1567.00841619828 2194.48765017388 3887.2360663888 1634.72084357357 1490.09687522269
"FUCA2" 888.578312369733 583.192472721827 734.326243905183 581.314167266427 635.169230209607 713.616758169447
"GCLC" 21.0721450819745 146.989105544174 142.820255568941 195.170657340692 71.5068794431002 89.7220096341461
"NFYA" 475.128490784121 438.658523243527 615.190078056554 506.268658538386 500.559351911868 299.532844305743
"STPG1" 102.907645674073 97.0751969910753 119.145097319464 227.429790662934 169.132583731413 187.355273185341
"NIPAL3" 200.803736737531 453.289897536014 372.599024011261 312.707740584546 228.88635455533 388.894468738212
"LAS1L" 1034.45661805701 877.551598292835 628.706660718034 754.317886168151 733.372417516938 971.621140830977
"ENPP4" 573.876815835751 817.594049594469 945.114898608016 719.401431902372 812.018046376353 377.249888173208
"SEMA3F" 1581.63263503147 2558.48993746439 2719.22016733116 2107.25572208672 1524.46894841995 1222.83340467649
"CFTR" 75.0404865201373 354.366305007539 206.886500626266 31.82663782666 35.3883913874147 601.906919817354
"ANKIB1" 320.073372416301 446.397198531944 532.45929966545 569.701462384409 347.687327721775 251.399590132836
"CYP51A1" 1990.68837126826 2089.8735360178 1933.3074800655 1716.12052625782 796.509994304306 1207.00406169877
"KRIT1" 220.113736909211 338.931370883883 286.521278325062 371.631747088338 306.583832345262 198.298823642182
"RAD52" 110.302347713454 102.614040597657 75.1881313321494 135.93939921461 43.9929876639181 29.466670822786
"MYH16" 1.68298876965599 36.0707367290984 3.57393443830365 4.32475321908178 2.21365333503778 1.3865602162471
"BAD" 448.222025682418 407.628992853645 264.646683905308 208.377194539281 404.269843134497 818.681853710698
"LAP3" 10383.8762167983 6699.09515443793 3167.67371127218 3751.20146885526 9577.28244164876 3415.05571308462
"CD99" 3239.62182048311 2821.10951005596 2402.1960878732 3549.81178396366 4185.95166190828 5149.28232212571
"HS3ST1" 220.652862368698 176.451758710256 118.05162880711 682.269355157408 372.75926949567 218.518349138524
"AOC1" 5.55125630139067 1.20499110044761 0 0.959264646114115 25.8166309732694 8.42498812577962
"HECW1" 2.97545117361852 4.05183645734541 10.9967568465324 9.74265472387797 12.9660060208584 0.525448048639288
"MAD1L1" 365.377581671546 515.417672745803 194.223071727632 97.5348235232818 254.527301290907 323.029682028649
"LASP1" 2890.81531333497 4149.94423495233 5577.88973549076 4546.87579447894 3103.29216502638 4246.19475952583
"SNX11" 536.028133608107 207.12798487501 381.86696177713 294.967461400354 518.72553456517 358.45971354648
"TMEM176A" 1218.82564417854 512.410428453518 219.501791519485 357.759760527081 356.623631688272 974.573960223224
"M6PR" 3568.22643442252 3222.10494463897 2323.75969204309 1961.06676470836 2807.63145217309 2673.3777227602
"KLHL13" 0 0 19.6604943006174 47.582633522896 16.3824777465975 0
"CYP26B1" 59.1183811456478 25.7944268601376 45.2370659027084 528.566325998341 699.178497595482 29.281170501306
"ICA1" 103.489337057382 349.616755965315 269.728548654682 130.451811824121 183.443692851177 192.11103401818
"DBNDD1" 166.133413362895 38.3834490064959 103.262483279413 43.4737008461295 67.1930118498298 212.013220517628
"ALS2" 490.94504911292 301.792886811546 540.932229074746 558.320008562578 379.312422892564 288.342488018097
"CASP10" 949.148239619725 1499.34873612468 993.408744899085 731.716123633709 660.339689382605 434.602722934644
"CFLAR" 21875.0363462993 25585.8719006479 22213.1676697237 10499.8362519057 23787.7048256732 10084.8691598897
"TFPI" 2073.41697104671 3237.01513969182 4241.17964727897 3481.99512031291 3381.89659185892 3126.69540549508
"NDUFAF7" 198.185349987389 182.327803205531 183.84289002025 461.343061574556 173.685740440372 148.273678833719
"RBM5" 2448.00462052126 3927.85027963402 2647.22706421728 1930.09119885118 2491.06743585599 1760.98335618205
"MTMR7" 0.641180475676379 9.10946332254117 3.81936411161756 3.30635941779371 5.31996441034891 11.5597944895348
"SLC7A2" 2708.8325135282 1642.50033400234 4160.27447715544 4930.4768301815 1296.05265621527 1093.28806799848
"ARF5" 1485.64007590226 1275.00966298199 1175.33368499948 703.039299207416 1339.0371920172 2069.08853563523
"SARM1" 110.262139594245 78.2505826084632 72.0145925303992 68.6241774828972 83.6940916353861 71.4942851810494
"POLDIP2" 150.058546523466 116.511129535822 66.3383066752017 72.8123890637242 80.6539164558832 200.052509935061
"PLXND1" 3087.20786551469 5330.04432900762 2998.91162068726 1386.48406355672 1325.36640598636 2604.14933051854
"AK2" 3431.82157942386 1847.17299578393 1809.77952685463 2343.32445257733 2226.42893287812 2008.08470830538
"CD38" 496.275237738052 597.550532892491 367.766924257624 93.4821493025149 248.139416997618 159.698762561169
"FKBP4" 3037.07419404167 1311.71899854568 1366.64198732828 15301.9727441759 4940.93951494522 2697.71617785432
"KDM1A" 1222.63769437473 1163.7332449551 741.877227160742 814.278003635847 997.806823120791 1171.3737819026
"RBM6" 3000.15732484708 5277.21477459821 2581.13844719053 2761.52733922221 2755.12602167113 1861.88591088101
"CAMKK1" 81.635531755444 139.970976528715 82.5841152450421 81.7218037241645 122.001532016442 207.773452411193
"RECQL" 589.528329110258 369.625571702742 736.02331818839 906.165575435954 765.99262057981 307.919721642444
"VPS50" 58.9041382464561 108.875811176464 142.845396805417 75.6599623232562 82.5005527275745 40.9125697642966
"HSPB6" 225.498676351833 331.087544361335 636.070819040715 1278.14684671035 431.437463850721 307.940312101731
"ARHGAP33" 89.3993610772674 89.6099228029154 36.4372938845477 59.1884434082136 31.908349863947 24.6469613988122
"NDUFAB1" 1018.84504127163 458.072824732982 459.482996295252 506.64027710839 653.5339896683 1036.88411900422
"PDK4" 454.712697647015 1356.91075103587 4116.78165453485 2524.45547902024 1436.02047640204 690.099797741079
"SLC22A16" 4.14193872405901 0 5.64619105047825 17.3628653990256 0 4.51310779211868
"ZMYND10" 120.11750424611 207.018918114812 270.481456191913 357.814029040801 581.248351439062 1223.87577866744
"ABCB5" 24.0013808680764 3.91172098578184 1.75955440227338 4.88821371586415 2.75818448043721 3.2972537801524
"ARX" 1.09577716578977 2.37915376184908 3.73609894803287 10.3914584485144 5.76372101332429 12.6712475333847
"SLC25A13" 438.411900865768 688.81578527561 367.171037988674 296.975496662856 347.725472917738 368.199768265719
