"","X.miRNA","read_count","precursor","total","XmiRNA1","XmiRNA2","XmiRNA3","XmiRNA4","XmiRNA5","XmiRNA6","XmiRNA7","XmiRNA8","XmiRNA9","XmiRNA10","XmiRNA11","XmiRNA12","XmiRNA13","XmiRNA14","XmiRNA15","XmiRNA16","XmiRNA17","XmiRNA18","XmiRNA19","XmiRNA20","XmiRNA21","XmiRNA22","XmiRNA23","XmiRNA24","XmiRNA25","XmiRNA26","XmiRNA27","XmiRNA28","XmiRNA29","XmiRNA30","XmiRNA31","XmiRNA32","XmiRNA33","XmiRNA34","XmiRNA35","XmiRNA36","XmiRNA37","XmiRNA38","XmiRNA39","XmiRNA40","XmiRNA41","XmiRNA42","XmiRNA43","XmiRNA44","XmiRNA45","XmiRNA46","X10miRNA1.norm.","XmiRNA2.norm.","XmiRNA3.norm.","XmiRNA4.norm.","XmiRNA5.norm.","XmiRNA6.norm.","XmiRNA7.norm.","XmiRNA8.norm.","XmiRNA9.norm.","XmiRNA10.norm.","XmiRNA11.norm.","XmiRNA12.norm.","XmiRNA13.norm.","XmiRNA14.norm.","XmiRNA15.norm.","XmiRNA16.norm.","XmiRNA17.norm.","XmiRNA18.norm.","XmiRNA19.norm.","XmiRNA20.norm.","XmiRNA21.norm.","XmiRNA22.norm.","XmiRNA23.norm.","XmiRNA24.norm.","XmiRNA25.norm.","XmiRNA26.norm.","XmiRNA27.norm.","XmiRNA28.norm.","XmiRNA29.norm.","XmiRNA30.norm.","XmiRNA31.norm.","XmiRNA32.norm.","XmiRNA33.norm.","XmiRNA34.norm.","XmiRNA35.norm.","XmiRNA36.norm.","XmiRNA37.norm.","XmiRNA38.norm.","XmiRNA39.norm.","XmiRNA40.norm.","XmiRNA41.norm.","XmiRNA42.norm.","XmiRNA43.norm.","XmiRNA44.norm.","XmiRNA45.norm.","XmiRNA46.norm."
"1","chr1_104992",30,"chr1_104992",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.26,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","chr1_105105",120,"chr1_105105",120,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,90.99,0,0,0,0,0,0,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0
"3","chr1_107984",447,"chr1_107984",447,0,334,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,140.06,0,0,0,0,23.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62,11.63,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.48
"4","chr1_112419",175682,"chr1_112419",175682,1766,271,561,1047,2934,1014,4517,1017,1088,12674,1720,2690,1211,3063,2568,7827,345,4938,6624,2876,1884,4511,5210,6153,2733,1538,9986,2934,6715,1821,28922,1138,1960,1854,3553,4092,1267,659,2887,1447,5535,3872,6489,2042,4557,1172,440.22,113.64,240.37,662.12,851.89,372.97,3216.68,126.9,246,4114.36,1337.6,804.84,159.08,2976.1,520.17,1433.22,41.15,1323.12,1011.46,1857.16,407.01,486.02,2164.62,5182.61,524.45,482.79,4783.93,775.63,2476.94,3156.32,6798.38,96.13,1323.72,707.67,966.28,3194.89,288.48,105.19,707.92,481.98,848.76,1115.87,19033.4,1946.1,1292.9,211.02
"5","chr1_116467",74835,"chr1_116467",74835,39,120,29,278,460,32,360,27,86,741,391,38,67,262,272,7203,14,415,1899,302,25,202,2028,1742,190,97,7229,877,236,171,39879,354,377,165,1326,60,65,76,1249,126,569,819,3397,147,128,266,9.72,50.32,12.43,175.81,133.56,11.77,256.37,3.37,19.45,240.55,304.07,11.37,8.8,254.57,55.1,1318.96,1.67,111.2,289.97,195.02,5.4,21.76,842.58,1467.27,36.46,30.45,3463.15,231.84,87.05,296.39,9373.93,29.9,254.61,62.98,360.62,46.85,14.8,12.13,306.27,41.97,87.25,236.03,9964.01,140.1,36.32,47.89
"6","chr1_116846",51,"chr1_116846",51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6,0,0,0,0,0,0,0,0,0.95,0,0
"7","chr1_121367",31505,"chr1_121367",31505,323,72,258,351,794,186,2763,958,1143,1182,515,608,459,394,699,709,194,1949,432,1232,380,1125,827,98,331,458,283,1054,745,195,393,454,543,231,2230,793,445,128,637,324,839,968,192,377,1101,1133,80.52,30.19,110.54,221.97,230.54,68.41,1967.61,119.54,258.44,383.71,400.5,181.91,60.3,382.82,141.59,129.83,23.14,522.23,65.96,795.56,82.09,121.21,343.6,82.54,63.52,143.77,135.58,278.64,274.81,337.99,92.38,38.35,366.72,88.17,606.48,619.15,101.32,20.43,156.2,107.92,128.66,278.97,563.17,359.29,312.37,204
"8","chr1_122596",58,"chr1_122596",58,29,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,7.23,0,0.43,5.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.49,0,0,0,0,0,0,0.54,0,0,0,0,0,0,0,0,0,0.28,0
"9","chr1_122712",941,"chr1_122712",941,0,0,0,1,0,48,1,0,0,0,0,0,1,0,73,130,9,17,0,0,0,0,16,0,0,11,86,153,0,0,121,0,0,0,0,1,2,147,0,0,11,0,0,0,26,87,0,0,0,0.63,0,17.66,0.71,0,0,0,0,0,0.13,0,14.79,23.8,1.07,4.56,0,0,0,0,6.65,0,0,3.45,41.2,40.45,0,0,28.44,0,0,0,0,0.78,0.46,23.46,0,0,1.69,0,0,0,7.38,15.66
"10","chr1_126921",37607,"chr1_126921",37607,685,1,363,2,932,181,0,348,392,1649,402,547,452,614,1607,40,119,1588,1724,925,247,1116,20,69,1846,413,93,2,1300,189,127,688,1443,222,2236,651,516,3,2875,418,1592,2990,3950,1179,851,0,170.75,0.42,155.53,1.26,270.61,66.58,0,43.42,88.63,535.31,312.62,163.66,59.38,596.58,325.51,7.32,14.2,425.5,263.25,597.31,53.36,120.24,8.31,58.12,354.24,129.64,44.55,0.53,479.53,327.59,29.85,58.12,974.55,84.74,608.11,508.28,117.49,0.48,704.98,139.23,244.12,861.69,11586.06,1123.63,241.44,0
